name,type,latitude,longitude,description,distance_rutgers_1,distance_rutgers_2,source
Eddy's supermarket On Clinton,Fresh Food,40.723341,-74.2135991,About 22 mins Via BUS, About 13-15 mins DRIVING,,original
Food Plaza Supermarket ,Fresh Food,40.75618589999999,-74.1735106,About 10 mins Via BUS, About 5 mins DRIVING,,original
Jr Freeway Deli Market,Fresh Food,40.71294410000001,-74.21009049999999,About 25- 30 mins Via BUS, About 15 mins DRIVING,,original
Hawthorne Grocery,Fresh Food,40.7173743,-74.2076835,About 20-25 mins Via BUS, About 13 -15 mins DRIVING  ,,original
Global Mini Market,Fresh Food,40.7796756,-74.163294,About 10- 15 min Via BUS About 5 mins DRIVING,,,original
7th Ave. Grocery,Fresh Food,40.7557406,-74.1926689,5 mins DRIVING, 15 - 20 mins VIA BUS, 25 mins WALKING,original
Bloomfield Deli,Fresh Food,40.7602041,-74.1765008,6 mins WALKING, 12 mins BUS, 25 mins WALKING,original
JM grocery store & Deli,Fresh Food,40.7519384,-74.19809,10 mins DRIVING, 17 - 20 mins via BUS, ,original
JNC Mini Market,Fresh Food,40.73353349999999,-74.2112087,12 mins DRIVING, 25 - 30 mins via BUS, ,original
Casey's Grocery,Fresh Food,40.7355629,-74.2025407,8 mins DRIVING, 13 mins via BUS ,,original
F&D Supermarket,Fresh Food,40.75120630000001,-74.17432509999999,2 mins DRIVING, 10 mins WALKING ,,original
La Bodeguita Deli Grocery,Fresh Food,40.7551615,-74.1741136,5 mins DRIVING, 11 mins via BUS, 18 mins WALKING ,original
De Sanchez Grocery Llc,Fresh Food,40.7347416,-74.19913729999999,7 mins DRIVING, 11 mins via BUS, 30 mins WALKING,original
D & A Deli Grocery,Fresh Food,40.7355141,-74.2104478,10 mins DRIVING, 18 mins via BUS,,original
El piloto deli & grocery,Fresh Food,40.7485073,-74.1811757,3 mins DRIVING, 10 mins via BUS, 11 mins WALKING ,original
New Stop 4 Food Market,Fresh Food,40.7098998,-74.2068654,About 25- 30 mins Via BUS, About 13 - 15 mins DRIVING ,,original
Shop Smart Food Market,Fresh Food,40.7290155,-74.1822777,About 15 -20 mins Via BUS, About 5 mins DRIVING, About 20 min WALK ,original
Medina Meat Market,Fresh Food,40.7271845,-74.20750389999999,12 mins DRIVING, 25 mins via BUS,,original
Washington food market,Fresh Food,40.7296026,-74.17920749999999,5 mins DRIVING, 10 - 15 mins, 8 - 13 mins WALKING,original
Park Avenue Deli and Food Market,Fresh Food,40.7566432,-74.1781371,5 mins DRIVING, 15 mins via BUS, 23 mins WALKING ,original
Rutgers University,Fresh Food,40.7416983,-74.17418909999999,,,,original
Link Community Charter School,Fresh Food,40.7246212,-74.1800639,,,,original
Rodriguez Family Market,Fresh Food,40.7387679,-74.1926872,5 mins DRIVING, 17-20 mins via BUS,,original
We the best Food Market,Fresh Food,40.7391862,-74.1963839,, 6 mins DRIVING,,original
R&R Grocery,Fresh Food,40.73977000000001,-74.20495489999999,8 mins DRIVING, 20 mins via BUS,,original
New Mega Supermarket,Fresh Food,40.7314356,-74.20351029999999,10 mins DRIVING, 15 mins via BUS,,original
Big Rocs Deli,Deli,40.7340018,-74.1886385,Fresh food location in Newark,,,verified
Bragman's Delicatessen,Deli,40.7408115,-74.1711971,Fresh food location in Newark,,,verified
Cooper's Liquors & Deli,Deli,40.7550253,-74.1956807,Fresh food location in Newark,,,verified
Hobby's Delicatessen & Restaurant,Deli,40.735156,-74.17438,Fresh food location in Newark,,,verified
Manny's Restaurant BBQ & Deli,Deli,40.723238,-74.177553,Fresh food location in Newark,,,verified
Manny's Deli & Restaurant II,Deli,40.747242,-74.192051,Fresh food location in Newark,,,verified
Sahara Deli,Deli,40.7322725,-74.1357024,Fresh food location in Newark,,,verified
Bodega La Chiquita,Bodega,40.722837,-74.18353,Fresh food location in Newark,,,verified
Casa dPaco,Bodega,40.7253355,-74.1631362,Fresh food location in Newark,,,verified
Fornos of Spain Restaurant,Bodega,40.7324108,-74.1633092,Fresh food location in Newark,,,verified
La Bodega,Bodega,40.775859,-74.162936,Fresh food location in Newark,,,verified
Food Depot Supermarket,Supermarket,40.7484019,-74.1880818,Fresh food location in Newark,,,verified
Golden Farm Market,Supermarket,40.7323708,-74.1588026,Fresh food location in Newark,,,verified
Market Street Traders,Supermarket,40.735602,-74.1725642,Fresh food location in Newark,,,verified
Nevada Supermarket,Supermarket,40.7318538,-74.1770925,Fresh food location in Newark,,,verified
Norfolk Food Mart,Supermarket,40.7439221,-74.1841829,Fresh food location in Newark,,,verified
Seabra Foods,Supermarket,40.7271449,-74.1490474,Fresh food location in Newark,,,verified
ShopRite of Newark,Supermarket,40.7366808,-74.1861354,Fresh food location in Newark,,,verified
The Lion Supermarket,Supermarket,40.7173619,-74.1954481,Fresh food location in Newark,,,verified
Whole Foods Market,Supermarket,40.7401408,-74.1701743,Fresh food location in Newark,,,verified
Bergen Supermarket,Supermarket,40.7189488,-74.2011093,Fresh food location in Newark,,,verified
