name,type,Latitude,Longitude,description,Distance from Rutgers 1,Distances from Rutgers 2
Eddy's supermarket On Clinton,Fresh Food,-74.2135991,40.723341,About 22 mins Via BUS, About 13-15 mins DRIVING,
Food Plaza Supermarket ,Fresh Food,-74.1735106,40.75618589999999,About 10 mins Via BUS, About 5 mins DRIVING,
Jr Freeway Deli Market,Fresh Food,-74.21009049999999,40.71294410000001,About 25- 30 mins Via BUS, About 15 mins DRIVING,
Hawthorne Grocery,Fresh Food,-74.2076835,40.7173743,About 20-25 mins Via BUS, About 13 -15 mins DRIVING  ,
Global Mini Market,Fresh Food,-74.163294,40.7796756,About 10- 15 min Via BUS About 5 mins DRIVING,,
7th Ave. Grocery,Fresh Food,-74.1926689,40.7557406,5 mins DRIVING, 15 - 20 mins VIA BUS, 25 mins WALKING
Bloomfield Deli,Fresh Food,-74.1765008,40.7602041,6 mins WALKING, 12 mins BUS, 25 mins WALKING
JM grocery store & Deli,Fresh Food,-74.19809,40.7519384,10 mins DRIVING, 17 - 20 mins via BUS, 
JNC Mini Market,Fresh Food,-74.2112087,40.73353349999999,12 mins DRIVING, 25 - 30 mins via BUS, 
Casey's Grocery,Fresh Food,-74.2025407,40.7355629,8 mins DRIVING, 13 mins via BUS ,
F&D Supermarket,Fresh Food,-74.17432509999999,40.75120630000001,2 mins DRIVING, 10 mins WALKING ,
La Bodeguita Deli Grocery,Fresh Food,-74.1741136,40.7551615,5 mins DRIVING, 11 mins via BUS, 18 mins WALKING 
De Sanchez Grocery Llc,Fresh Food,-74.19913729999999,40.7347416,7 mins DRIVING, 11 mins via BUS, 30 mins WALKING
D & A Deli Grocery,Fresh Food,-74.2104478,40.7355141,10 mins DRIVING, 18 mins via BUS,
El piloto deli & grocery,Fresh Food,-74.1811757,40.7485073,3 mins DRIVING, 10 mins via BUS, 11 mins WALKING 
New Stop 4 Food Market,Fresh Food,-74.2068654,40.7098998,About 25- 30 mins Via BUS, About 13 - 15 mins DRIVING ,
Shop Smart Food Market,Fresh Food,-74.1822777,40.7290155,About 15 -20 mins Via BUS, About 5 mins DRIVING, About 20 min WALK 
Medina Meat Market,Fresh Food,-74.20750389999999,40.7271845,12 mins DRIVING, 25 mins via BUS,
Washington food market,Fresh Food,-74.17920749999999,40.7296026,5 mins DRIVING, 10 - 15 mins, 8 - 13 mins WALKING
Park Avenue Deli and Food Market,Fresh Food,-74.1781371,40.7566432,5 mins DRIVING, 15 mins via BUS, 23 mins WALKING 
Rutgers University,Fresh Food,-74.17418909999999,40.7416983,,,
Link Community Charter School,Fresh Food,-74.1800639,40.7246212,,,
Rodriguez Family Market,Fresh Food,-74.1926872,40.7387679,5 mins DRIVING, 17-20 mins via BUS,
We the best Food Market,Fresh Food,-74.1963839,40.7391862,, 6 mins DRIVING,
R&R Grocery,Fresh Food,-74.20495489999999,40.73977000000001,8 mins DRIVING, 20 mins via BUS,
New Mega Supermarket,Fresh Food,-74.20351029999999,40.7314356,10 mins DRIVING, 15 mins via BUS,
